kind_to	source_to	key_to	relation_kind	kind_from	source_from	key_from	time_source
instance	nlr	012085390	hasItem	item	nlr	012085390	2019-12-17 12:00:00
instance	nlr	012085330	hasItem	item	nlr	012085330	2019-12-17 12:00:00
instance	nlr	012085328	hasItem	item	nlr	012085328	2019-12-17 12:00:00
instance	nlr	012085383	hasItem	item	nlr	012085383	2019-12-17 12:00:00
instance	nlr	012085331	hasItem	item	nlr	012085331	2019-12-17 12:00:00
instance	nlr	011610355	hasItem	item	nlr	011610355	2019-12-17 12:00:00
instance	nlr	012048984	hasItem	item	nlr	012048984	2019-12-17 12:00:00
instance	nlr	012085358	hasItem	item	nlr	012085358	2019-12-17 12:00:00
instance	nlr	012085356	hasItem	item	nlr	012085356	2019-12-17 12:00:00
instance	nlr	012085480	hasItem	item	nlr	012085480	2019-12-17 12:00:00
instance	nlr	012085400	hasItem	item	nlr	012085400	2019-12-17 12:00:00
instance	nlr	012049172	hasItem	item	nlr	012049172	2019-12-17 12:00:00
instance	nlr	012049185	hasItem	item	nlr	012049185	2019-12-17 12:00:00
instance	nlr	012085476	hasItem	item	nlr	012085476	2019-12-17 12:00:00
instance	nlr	012049186	hasItem	item	nlr	012049186	2019-12-17 12:00:00
instance	nlr	012049184	hasItem	item	nlr	012049184	2019-12-17 12:00:00
instance	nlr	011610385	hasItem	item	nlr	011610385	2019-12-17 12:00:00
instance	nlr	012049947	hasItem	item	nlr	012049947	2019-12-17 12:00:00
instance	nlr	012085346	hasItem	item	nlr	012085346	2019-12-17 12:00:00
instance	nlr	012049001	hasItem	item	nlr	012049001	2019-12-17 12:00:00
instance	nlr	011610413	hasItem	item	nlr	011610413	2019-12-17 12:00:00
instance	nlr	011764331	hasItem	item	nlr	011764331	2019-12-17 12:00:00
instance	nlr	012085396	hasItem	item	nlr	012085396	2019-12-17 12:00:00
instance	nlr	012085487	hasItem	item	nlr	012085487	2019-12-17 12:00:00
instance	nlr	012085486	hasItem	item	nlr	012085486	2019-12-17 12:00:00
instance	nlr	012085485	hasItem	item	nlr	012085485	2019-12-17 12:00:00
instance	nlr	012085483	hasItem	item	nlr	012085483	2019-12-17 12:00:00
instance	nlr	012085482	hasItem	item	nlr	012085482	2019-12-17 12:00:00
instance	nlr	012085481	hasItem	item	nlr	012085481	2019-12-17 12:00:00
instance	nlr	012085484	hasItem	item	nlr	012085484	2019-12-17 12:00:00
instance	nlr	011610402	hasItem	item	nlr	011610402	2019-12-17 12:00:00
instance	nlr	012085477	hasItem	item	nlr	012085477	2019-12-17 12:00:00
instance	nlr	012049072	hasItem	item	nlr	012049072	2019-12-17 12:00:00
instance	nlr	011610221	hasItem	item	nlr	011610221	2019-12-17 12:00:00
instance	nlr	011610542	hasItem	item	nlr	011610542	2019-12-17 12:00:00
instance	nlr	012048817	hasItem	item	nlr	012048817	2019-12-17 12:00:00
instance	nlr	011433684	hasItem	item	nlr	011433684	2019-12-17 12:00:00
instance	nlr	012049189	hasItem	item	nlr	012049189	2019-12-17 12:00:00
instance	nlr	011610238	hasItem	item	nlr	011610238	2019-12-17 12:00:00
instance	nlr	011610322	hasItem	item	nlr	011610322	2019-12-17 12:00:00
instance	nlr	011433655	hasItem	item	nlr	011433655	2019-12-17 12:00:00
instance	nlr	012049174	hasItem	item	nlr	012049174	2019-12-17 12:00:00
instance	nlr	011610375	hasItem	item	nlr	011610375	2019-12-17 12:00:00
instance	nlr	011610330	hasItem	item	nlr	011610330	2019-12-17 12:00:00
instance	nlr	012048972	hasItem	item	nlr	012048972	2019-12-17 12:00:00
instance	nlr	012048971	hasItem	item	nlr	012048971	2019-12-17 12:00:00
instance	nlr	012048976	hasItem	item	nlr	012048976	2019-12-17 12:00:00
instance	nlr	012048966	hasItem	item	nlr	012048966	2019-12-17 12:00:00
instance	nlr	012048975	hasItem	item	nlr	012048975	2019-12-17 12:00:00
instance	nlr	012048969	hasItem	item	nlr	012048969	2019-12-17 12:00:00
instance	nlr	012048964	hasItem	item	nlr	012048964	2019-12-17 12:00:00
instance	nlr	012048963	hasItem	item	nlr	012048963	2019-12-17 12:00:00
instance	nlr	011433647	hasItem	item	nlr	011433647	2019-12-17 12:00:00
instance	nlr	012085368	hasItem	item	nlr	012085368	2019-12-17 12:00:00
instance	nlr	012085347	hasItem	item	nlr	012085347	2019-12-17 12:00:00
instance	nlr	012085350	hasItem	item	nlr	012085350	2019-12-17 12:00:00
instance	nlr	012085333	hasItem	item	nlr	012085333	2019-12-17 12:00:00
