kind_from	source_from	key_from	relation_kind	kind_to	source_to	key_to
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9288
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9173
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9264
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9306
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9284
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9305
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9299
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9271
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9294
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9295
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9274
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9296
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9172
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9164
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9293
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9298
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9303
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9304
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9170
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9278
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	9286
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10278
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10280
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10282
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10285
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10286
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10287
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10299
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10301
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10289
collection	knpam.rusneb.ru	kpcivil	hasItem	item	knpam.rusneb.ru	10291
