key_to	source_to	time_sys	kind_to	relation_kind	kind_from	source_from	key_from
/kp/rumorgb/rsl01002986408.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986408
/kp/rumorgb/rsl01002986409.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986409
/kp/rumorgb/rsl01002986417.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986417
/kp/rumorgb/rsl01002986422.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986422
/kp/rumorgb/rsl01002986426.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986426
/kp/rumorgb/rsl01002986428.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986428
/kp/rumorgb/rsl01002986430.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986430
/kp/rumorgb/rsl01002986435.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986435
/kp/rumorgb/rsl01002986436.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986436
/kp/rumorgb/rsl01002986437.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986437
/kp/rumorgb/rsl01002986441.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986441
/kp/rumorgb/rsl01002986442.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986442
/kp/rumorgb/rsl01002986445.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986445
/kp/rumorgb/rsl01002986453.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986453
/kp/rumorgb/rsl01002986455.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986455
/kp/rumorgb/rsl01002986457.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986457
/kp/rumorgb/rsl01002986459.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986459
/kp/rumorgb/rsl01002986460.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986460
/kp/rumorgb/rsl01002986462.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986462
/kp/rumorgb/rsl01002986466.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986466
/kp/rumorgb/rsl01002986468.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986468
/kp/rumorgb/rsl01002986469.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986469
/kp/rumorgb/rsl01002986470.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986470
/kp/rumorgb/rsl01002986472.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986472
/kp/rumorgb/rsl01002986474.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986474
/kp/rumorgb/rsl01002986476.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986476
/kp/rumorgb/rsl01002986477.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986477
/kp/rumorgb/rsl01002986478.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986478
/kp/rumorgb/rsl01002986479.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986479
/kp/rumorgb/rsl01002986481.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986481
/kp/rumorgb/rsl01002986482.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986482
/kp/rumorgb/rsl01002986484.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986484
/kp/rumorgb/rsl01002986488.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986488
/kp/rumorgb/rsl01002986493.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986493
/kp/rumorgb/rsl01002986495.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986495
/kp/rumorgb/rsl01002986499.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986499
/kp/rumorgb/rsl01002986500.pdf	storage.rusneb.ru	2019-12-13 12:00:00	url	http://opds-spec.org/acquisition/open-access	item	rumorgb	002986500
